id,first_name,last_name,email,gender,phone,dob,isGraduate,city,country,favouriteMovie,favouriteMovieGenre
1,Levy,Veque,lveque0@cdc.gov,Male,+9738763646552,2002-05-31T01:53:23Z,TRUE,Sitrah,Bahrain,Connie and Carla,Comedy
2,Jocelyn,Radborn,jradborn1@wikipedia.org,Female,+621571899676,1983-08-07T22:45:02Z,TRUE,Pedamaran,Indonesia,Gate of Hell (Jigokumon),Drama|Romance
3,Ozzie,McPhaden,omcphaden2@pagesperso-orange.fr,Male,+9774155750691,2003-05-10T07:56:09Z,FALSE,Nawal,Nepal,American Grindhouse,Documentary
4,Eula,Dy,edy3@blog.com,Female,+333154757806,1999-04-03T08:08:17Z,TRUE,Rouen,France,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown)",Drama|Romance
5,Oona,Rookledge,orookledge4@timesonline.co.uk,Female,+625506732606,1984-10-21T10:57:16Z,TRUE,Mburukullu,Indonesia,Dr. Jekyll and Mr. Hyde,Drama|Horror
6,Kathrine,Alvy,kalvy5@tinypic.com,Female,+665332372777,2002-06-07T21:46:47Z,TRUE,Kamphaeng Phet,Thailand,Breaking Out (Vägen ut),Comedy|Drama
7,Theressa,De Roeck,tderoeck6@1688.com,Female,+868539376997,1989-05-07T08:57:26Z,TRUE,Luxi,China,Camille,Drama|Romance
8,Hillery,Enoksson,henoksson7@symantec.com,Male,+466103798538,1988-06-26T11:20:53Z,TRUE,Sundsvall,Sweden,Barbarella,Adventure|Comedy|Sci-Fi
9,Ansell,Sitlinton,asitlinton8@gravatar.com,Male,+5044828563280,1985-02-17T18:56:48Z,FALSE,Toyós,Honduras,Go,Comedy|Crime
10,Chelsey,Polamontayne,cpolamontayne9@eepurl.com,Female,+621548965724,2002-02-22T04:31:41Z,FALSE,Sumberpitu,Indonesia,18 Fingers of Death!,Action|Comedy
,Arny,Kundert,akunderta@i2i.jp,Male,+3562087399891,1985-08-13T17:11:41Z,FALSE,Kalkara,Malta,Frequencies,Mystery|Romance|Sci-Fi
12,Townie,Finci,tfincib@mapy.cz,Male,+865667085215,1993-08-24T08:38:24Z,TRUE,Chuzhou,China,Giorgino,Adventure|Drama|Horror
13,Jerri,Magarrell,jmagarrellc@issuu.com,Male,+632399923823,1980-07-07T20:24:24Z,TRUE,Bagacay,Philippines,Wetlands (Feuchtgebiete),Comedy|Drama
